# Location: Anchorage Area
# Demographic and health data for individual neighborhoods of Anchorage.
variable,Government Hill,West Mountain View/Ship Creek,East Mountain View,Ptarmigan Area,Northwest Muldoon,Northeast Muldoon,Wonder Park,Russian Jack,Merrill Field Vicinity,Chester Creek,West Fairview,Downtown Anchorage Core,Bootleggers Cove/Westchester,Turnagain,South Fireweed,North Fireweed,Rogers Park/Tudor Area,Airport Heights,University Area,Baxter,Cheney Lake,Muldoon,Scenic Foothills,Campbell Park West,Campbell Park East,Midtown,Spenard,Woodland Park/Spenard,Lake Spenard,East Turnagain/Fish Creek,Airport/Kincaid,Connors Lake,Jewel Lake/Birch Lake,Dimond/Northwood,Northwood,Arctic,Taku/Campbell,Abbott Loop West,Abbott Loop North,Abbott Loop,Campbell Lake/Bayshore,Dimond/Southport,Oceanview,Klatt,Independence Park,Lower Hillside,Hillside East,Huffman,Rabbit Creek,Rabbit Creek/Bear Valley,Science Center/Bicentennial Park,description,source
pct_hawaiian_pacislander,5.79,12.85,17.27,8.26,6.84,3.78,10.32,4.66,10.24,9.78,5.86,2.05,0.83,1.58,5.5,8.67,2.32,4.97,3.01,3.43,2.59,4.59,5.02,3.71,4.7,5.86,6.09,4.69,2.53,3.28,0.68,4.12,4.1,4.31,2.73,3.98,4.77,4.79,1.24,2.14,1.55,2.32,1.73,1.61,1.5,0.83,0.13,0.37,0.0,0.1,0.0,pct_hawaiian_pacislander is the percentage of the population that is Native Hawaiian and Pacific Islander; this value was calculated by taking the population count of Native Hawaiians and Pacific Islanders and expressing that count as a percentage of the total population,U.S. Census Demographic and Housing Characteristics Survey for 2020
pct_other,1.22,0.35,0.55,0.6,0.46,0.61,0.78,0.44,0.71,0.54,0.89,0.78,1.04,0.65,0.85,0.74,0.79,0.44,0.55,0.7,0.67,0.8,0.64,0.46,0.48,0.46,0.42,0.43,0.65,0.41,0.76,0.82,0.65,0.57,0.72,0.55,0.77,0.48,0.56,0.84,0.84,0.31,0.33,1.24,0.2,1.1,0.58,0.49,0.63,0.79,0.0,pct_other is the percentage of the population that is other race; this value was calculated by taking the population count of other races and expressing that count as a percentage of the total population,U.S. Census Demographic and Housing Characteristics Survey for 2020
pct_multi,13.09,12.68,13.62,11.25,12.75,12.51,11.42,12.38,10.81,8.68,8.9,8.33,6.7,8.15,9.87,10.33,10.22,10.38,11.26,11.78,12.45,12.93,12.21,11.09,11.54,10.12,10.65,12.05,9.81,11.4,10.54,14.22,12.72,12.81,10.73,11.53,12.25,12.37,12.95,11.44,11.32,10.35,10.18,10.86,12.2,9.68,8.07,10.57,8.3,7.66,40.0,pct_multi is the percentage of the population that is two or more races; this value was calculated by taking the population count of two or more races and expressing that count as a percentage of the total population,U.S. Census Demographic and Housing Characteristics Survey for 2020
pct_asthma,11.2,13.7,13.1,11.4,11.8,11.5,11.4,11.5,11.7,11.0,11.0,10.8,9.6,9.4,10.1,10.8,10.2,10.5,10.9,10.7,10.5,11.2,10.6,10.5,10.4,10.7,11.6,11.2,10.1,10.7,10.1,11.1,11.0,11.1,10.3,10.5,11.2,10.4,10.3,10.6,9.7,10.4,10.4,10.0,10.4,10.0,9.9,10.0,10.1,9.3,,pct_asthma is the percentage of adults aged >=18 years who report being diagnosed with and currently having asthma; this value is a crude prevalence rate,CDC PLACES dataset for 2024
pct_asthma_low,10.0,12.3,11.8,10.2,10.6,10.4,10.2,10.3,10.5,9.8,9.9,9.7,8.5,8.4,9.0,9.7,9.1,9.4,9.8,9.5,9.4,10.0,9.4,9.4,9.3,9.6,10.4,10.0,9.0,9.6,9.1,9.9,9.9,10.0,9.2,9.4,10.0,9.3,9.2,9.5,8.7,9.3,9.3,8.9,9.3,9.0,8.8,8.9,9.1,8.4,,pct_asthma_low is the lower bound of the 90% confidence interval for percentage of adults aged >=18 years who report being diagnosed with and currently having asthma,CDC PLACES dataset for 2024
pct_asthma_high,12.5,15.2,14.5,12.6,13.1,12.8,12.6,12.8,12.9,12.1,12.2,12.1,10.7,10.4,11.2,12.0,11.4,11.6,12.1,11.8,11.7,12.4,11.7,11.7,11.6,11.9,12.8,12.5,11.2,11.9,11.3,12.3,12.2,12.4,11.5,11.7,12.4,11.5,11.5,11.7,10.8,11.6,11.6,11.1,11.6,11.2,11.0,11.1,11.3,10.4,,pct_asthma_high is the upper bound of the 90% confidence interval for percentage of adults aged >=18 years who report being diagnosed with and currently having asthma,CDC PLACES dataset for 2024
pct_copd,5.6,10.6,9.4,5.8,6.4,7.1,6.5,6.4,7.0,7.1,6.1,8.1,4.8,4.5,4.5,5.0,6.1,5.1,5.7,5.2,5.1,6.5,5.2,4.5,4.8,6.0,7.7,6.8,5.1,6.1,5.3,5.6,6.3,5.8,5.4,5.7,5.8,4.8,4.6,5.3,4.2,5.7,5.7,4.7,4.7,4.8,5.4,4.5,6.3,3.7,,"pct_copd is the percentage of adults aged >=18 years who report being diagnosed with chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis",CDC PLACES dataset for 2024
pct_copd_low,5.0,9.6,8.6,5.3,5.7,6.4,5.8,5.7,6.3,6.4,5.5,7.3,4.3,4.0,4.0,4.5,5.4,4.6,5.1,4.6,4.6,5.9,4.6,4.0,4.3,5.4,7.0,6.1,4.6,5.5,4.7,5.0,5.7,5.2,4.9,5.2,5.2,4.3,4.2,4.7,3.8,5.2,5.1,4.2,4.2,4.3,4.8,4.0,5.6,3.3,,"pct_copd_low is the lower bound of the 90% confidence interval for percentage of adults aged >=18 years who report being diagnosed with chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis",CDC PLACES dataset for 2024
pct_copd_high,6.2,11.7,10.4,6.5,7.1,7.9,7.2,7.0,7.7,7.8,6.7,9.0,5.4,5.0,4.9,5.5,6.7,5.7,6.3,5.7,5.7,7.3,5.7,5.0,5.3,6.7,8.5,7.5,5.7,6.8,5.9,6.2,7.0,6.4,6.0,6.4,6.4,5.3,5.2,5.9,4.7,6.4,6.3,5.2,5.2,5.4,6.0,5.1,7.0,4.1,,"pct_copd_high is the upper bound of the 90% confidence interval for percentage of adults aged >=18 years who report being diagnosed with chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis",CDC PLACES dataset for 2024
pct_hd,5.6,8.1,7.4,5.4,5.3,6.7,5.9,5.5,5.9,6.9,6.1,7.3,6.1,6.1,4.9,5.0,6.8,5.2,5.6,5.2,5.8,6.6,5.2,4.4,4.8,5.9,6.9,6.1,5.3,6.0,5.5,5.3,5.6,4.8,5.7,5.9,5.3,4.5,4.6,5.1,4.9,5.4,5.9,5.0,4.4,5.4,6.4,5.1,6.9,4.7,,pct_hd is the percentage of adults aged >=18 years who report being diagnosed with coronary heart disease; this value is a crude prevalence rate,CDC PLACES dataset for 2024
pct_hd_low,5.1,7.4,6.8,4.9,4.8,6.1,5.3,5.0,5.3,6.3,5.6,6.6,5.5,5.5,4.4,4.5,6.1,4.7,5.1,4.7,5.2,6.0,4.7,4.0,4.4,5.3,6.3,5.5,4.7,5.4,4.9,4.8,5.1,4.3,5.2,5.3,4.8,4.0,4.1,4.7,4.5,4.9,5.3,4.5,3.9,4.9,5.8,4.6,6.2,4.3,,pct_hd_low is the lower bound of the 90% confidence interval for percentage of adults aged >=18 years who report being diagnosed with coronary heart disease,CDC PLACES dataset for 2024
pct_hd_high,6.2,8.9,8.2,5.9,5.9,7.3,6.4,6.1,6.5,7.6,6.7,8.0,6.8,6.7,5.4,5.5,7.5,5.7,6.1,5.7,6.3,7.3,5.7,4.9,5.3,6.4,7.6,6.7,5.8,6.6,6.0,5.9,6.2,5.3,6.3,6.5,5.9,4.9,5.1,5.7,5.4,6.0,6.5,5.5,4.8,6.0,7.1,5.7,7.6,5.2,,pct_hd_high is the upper bound of the 90% confidence interval for percentage of adults aged >=18 years who report being diagnosed with coronary heart disease,CDC PLACES dataset for 2024
pct_stroke,3.1,5.5,5.0,3.2,3.3,3.9,3.5,3.3,3.7,3.8,3.4,4.2,2.9,2.7,2.6,2.8,3.4,2.8,3.0,2.8,2.9,3.7,2.8,2.4,2.6,3.4,4.1,3.4,2.8,3.3,2.8,2.9,3.2,2.8,3.0,3.1,3.0,2.5,2.5,2.8,2.4,3.0,2.9,2.5,2.5,2.7,2.9,2.5,3.3,2.2,,"pct_stroke is the percentage of adults aged >=18 years who report having ever been told by a doctor, nurse, or other health professional that they have had a stroke; this value is a crude prevalence rate",CDC PLACES dataset for 2024
pct_stroke_low,2.9,5.2,4.6,2.9,3.0,3.6,3.2,3.1,3.4,3.6,3.1,3.9,2.6,2.5,2.4,2.6,3.1,2.6,2.8,2.6,2.7,3.4,2.6,2.2,2.5,3.1,3.8,3.1,2.5,3.0,2.5,2.6,2.9,2.6,2.8,2.9,2.8,2.3,2.3,2.5,2.2,2.8,2.7,2.3,2.3,2.5,2.7,2.3,3.0,2.0,,"pct_stroke_low is the lower bound of the 90% confidence interval for percentage of adults aged >=18 years who report having ever been told by a doctor, nurse, or other health professional that they have had a stroke",CDC PLACES dataset for 2024
pct_stroke_high,3.4,5.9,5.3,3.4,3.5,4.2,3.8,3.6,4.0,4.2,3.7,4.6,3.1,3.0,2.8,3.0,3.7,3.1,3.3,3.0,3.2,4.0,3.0,2.6,2.8,3.7,4.4,3.7,3.0,3.5,3.0,3.1,3.4,3.1,3.2,3.4,3.2,2.7,2.7,3.0,2.6,3.3,3.2,2.8,2.7,2.9,3.2,2.7,3.6,2.4,,"pct_stroke_high is the upper bound of the 90% confidence interval for percentage of adults aged >=18 years who report having ever been told by a doctor, nurse, or other health professional that they have had a stroke",CDC PLACES dataset for 2024
pct_diabetes,9.0,14.2,13.4,8.9,9.3,11.1,10.2,9.8,10.7,11.0,9.8,11.8,7.8,7.9,7.9,8.5,9.6,8.5,8.3,8.1,8.7,10.0,8.3,7.0,7.9,10.3,11.9,9.7,8.6,9.1,8.3,8.4,9.2,8.6,8.8,9.1,8.7,8.1,8.1,8.4,7.5,9.2,8.4,7.8,7.7,8.1,8.4,7.5,9.1,6.8,,pct_diabetes is the percentage of adults aged >=18 years who report being diagnosed with diabetes (excluding diabetes during pregnancy/gestational diabetes); this value is a crude prevalence rate,CDC PLACES dataset for 2024
pct_diabetes_low,8.0,12.7,11.9,7.9,8.3,9.9,9.0,8.7,9.5,9.7,8.7,10.5,6.8,6.9,7.0,7.5,8.4,7.5,7.4,7.1,7.7,8.8,7.3,6.2,7.0,9.1,10.6,8.6,7.6,8.1,7.3,7.4,8.1,7.6,7.7,8.0,7.7,7.1,7.1,7.4,6.6,8.1,7.4,6.8,6.8,7.1,7.4,6.6,8.0,5.9,,pct_diabetes_low is the lower bound of the 90% confidence interval for percentage of adults aged >=18 years who report being diagnosed with diabetes (excluding diabetes during pregnancy/gestational diabetes),CDC PLACES dataset for 2024
pct_diabetes_high,10.1,15.8,14.9,10.0,10.5,12.5,11.4,11.0,12.0,12.4,11.0,13.2,8.8,8.9,8.9,9.6,10.8,9.5,9.4,9.1,9.8,11.2,9.3,7.9,8.9,11.5,13.3,10.9,9.7,10.3,9.4,9.5,10.3,9.7,9.9,10.2,9.8,9.1,9.1,9.5,8.4,10.4,9.6,8.8,8.7,9.1,9.6,8.5,10.2,7.8,,pct_diabetes_high is the upper bound of the 90% confidence interval for percentage of adults aged >=18 years who report being diagnosed with diabetes (excluding diabetes during pregnancy/gestational diabetes),CDC PLACES dataset for 2024
pct_mh,17.5,23.5,22.1,18.6,19.4,18.1,18.3,18.6,19.5,16.0,16.7,18.2,11.5,10.9,14.8,16.2,14.0,15.0,16.7,15.1,14.3,16.3,14.6,16.5,15.9,16.5,19.1,17.4,14.0,15.8,14.0,17.1,17.4,17.5,14.8,15.4,17.5,16.1,15.4,15.5,12.9,15.8,15.0,13.8,15.4,13.3,12.1,13.3,12.8,11.1,,"pct_mh is the percentage of adults aged >=18 years who report having 'frequent mental distress' (mental health including stress, depression, and problems with emotions, was not good for 14 or more days during the past 30 days); this value is a crude prevalence rate",CDC PLACES dataset for 2024
pct_mh_low,15.9,21.6,20.3,17.1,17.7,16.5,16.7,17.0,17.9,14.6,15.3,16.6,10.4,9.8,13.5,14.8,12.7,13.7,15.2,13.8,13.0,14.9,13.3,15.0,14.5,15.1,17.5,15.9,12.7,14.4,12.7,15.6,15.9,15.9,13.4,14.0,16.0,14.6,14.1,14.1,11.7,14.4,13.6,12.6,14.0,12.1,11.0,12.1,11.7,10.0,,"pct_mh_low is the lower bound of the 90% confidence interval for percentage of adults aged >=18 years who report having 'frequent mental distress' (mental health including stress, depression, and problems with emotions, was not good for 14 or more days during the past 30 days)",CDC PLACES dataset for 2024
pct_mh_high,19.1,25.5,24.1,20.3,21.1,19.7,20.0,20.3,21.3,17.5,18.3,20.0,12.7,11.9,16.2,17.7,15.3,16.4,18.2,16.6,15.7,17.9,16.1,18.1,17.4,18.1,20.8,19.1,15.3,17.4,15.4,18.7,19.0,19.1,16.3,16.9,19.2,17.6,16.9,17.0,14.2,17.4,16.4,15.2,16.9,14.6,13.3,14.6,14.1,12.2,,"pct_mh_high is the upper bound of the 90% confidence interval for percentage of adults aged >=18 years who report having 'frequent mental distress' (mental health including stress, depression, and problems with emotions, was not good for 14 or more days during the past 30 days)",CDC PLACES dataset for 2024
pct_minority,51.4,81.4,78.3,61.7,67.1,58.0,82.4,61.2,76.4,51.9,52.3,46.9,18.8,21.3,49.7,44.2,38.1,46.8,55.1,47.5,38.9,43.7,40.7,51.0,64.2,58.5,61.9,35.1,44.6,44.9,44.1,34.6,40.2,68.5,42.7,41.2,47.3,62.3,54.3,39.2,25.1,53.7,24.9,33.9,47.2,26.6,24.1,31.9,24.0,19.5,,"pct_minority is the percentage of the population of racial or ethnic minority status (including individuals who identified as any of the following: Hispanic or Latino (any race); Black and African American, non-Hispanic; American Indian and Alaska Native, non-Hispanic; Asian, non-Hispanic; Native Hawaiian and Other Pacific Islander, non-Hispanic; Two or More Races, non-Hispanic; Other Races, non-Hispanic)",CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_minority_low,36.6,62.0,50.8,48.3,54.1,43.1,73.0,49.4,63.4,36.9,38.4,40.2,12.3,13.5,36.3,26.4,25.4,35.7,43.2,35.4,29.8,33.3,31.4,39.2,52.3,48.0,52.5,23.8,36.3,31.8,35.7,25.6,32.6,44.0,30.8,30.2,36.6,50.0,44.8,29.9,16.3,44.9,17.3,23.0,37.4,20.0,16.6,23.8,12.2,13.9,,"pct_minority_low is the lower bound of the 90% confidence interval for percentage of the population of racial or ethnic minority status (including individuals who identified as any of the following: Hispanic or Latino (any race); Black and African American, non-Hispanic; American Indian and Alaska Native, non-Hispanic; Asian, non-Hispanic; Native Hawaiian and Other Pacific Islander, non-Hispanic; Two or More Races, non-Hispanic; Other Races, non-Hispanic)",CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_minority_high,66.2,100.8,105.8,75.1,80.1,72.9,91.8,73.0,89.4,66.9,66.2,53.6,25.3,29.1,63.1,62.0,50.8,57.9,67.0,59.6,48.0,54.1,50.0,62.8,76.1,69.0,71.3,46.4,52.9,58.0,52.5,43.6,47.8,93.0,54.6,52.2,58.0,74.6,63.8,48.5,33.9,62.5,32.5,44.8,57.0,33.2,31.6,40.0,35.8,25.1,,"pct_minority_high is the upper bound of the 90% confidence interval for percentage of the population of racial or ethnic minority status (including individuals who identified as any of the following: Hispanic or Latino (any race); Black and African American, non-Hispanic; American Indian and Alaska Native, non-Hispanic; Asian, non-Hispanic; Native Hawaiian and Other Pacific Islander, non-Hispanic; Two or More Races, non-Hispanic; Other Races, non-Hispanic)",CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_no_hsdiploma,5.3,17.2,15.1,11.4,12.0,5.0,11.8,10.4,17.4,8.9,11.3,8.6,0.7,2.6,4.2,12.7,2.6,5.0,2.8,3.9,5.1,13.6,6.8,6.5,11.8,7.3,14.6,5.0,5.8,6.4,4.5,3.2,2.4,17.0,5.5,4.5,5.2,4.7,2.0,5.7,1.7,6.7,6.2,1.5,6.7,1.8,0.6,2.3,2.9,1.5,,pct_no_hsdiploma is the percentage of adults aged >=25 years with no high school diploma,CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_no_hsdiploma_low,1.4,7.8,6.6,3.9,2.8,1.6,7.3,4.4,12.6,4.9,6.3,4.0,0.0,0.0,0.0,4.3,0.9,1.8,0.5,0.4,2.4,6.7,3.1,2.9,6.0,4.0,9.8,1.6,1.8,2.8,1.3,0.6,0.6,2.9,2.6,1.7,1.2,0.6,0.3,1.6,0.0,3.9,0.0,0.0,2.4,0.3,0.1,0.9,1.1,0.1,,pct_no_hsdiploma_low is the lower bound of the 90% confidence interval for percentage of adults aged >=25 years with no high school diploma,CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
pct_no_hsdiploma_high,9.2,26.6,23.6,18.9,21.2,8.4,16.3,16.4,22.2,12.9,16.3,13.2,1.4,5.4,10.4,21.1,4.3,8.2,5.1,7.4,7.8,20.5,10.5,10.1,17.6,10.6,19.4,8.4,9.8,10.0,7.7,5.8,4.2,31.1,8.4,7.3,9.2,8.8,3.7,9.8,3.9,9.5,13.2,3.2,11.0,3.3,1.1,3.7,4.7,2.9,,pct_no_hsdiploma_high is the upper bound of the 90% confidence interval for percentage of adults aged >=25 years with no high school diploma,CDC PLACES Social Determinants of Health dataset for 2024 (originally derived from ACS estimates 2017-2021)
